"key_ID","year","directorate_general_ID","directorate_general","directorate_general_code","member_state_ID","member_state","member_state_code","count_cases"
75,1990,1,"Competition","COMP",3,"Germany","DE",0
76,1990,1,"Competition","COMP",4,"Italy","IT",0
77,1990,1,"Competition","COMP",5,"Luxembourg","LU",0
78,1990,1,"Competition","COMP",6,"Netherlands","NL",0
79,1990,1,"Competition","COMP",7,"Denmark","DK",0
80,1990,1,"Competition","COMP",8,"Ireland","IE",0
81,1990,1,"Competition","COMP",9,"United Kingdom","UK",0
82,1990,1,"Competition","COMP",10,"Greece","EL",0
83,1990,1,"Competition","COMP",11,"Portugal","PT",0
84,1990,1,"Competition","COMP",12,"Spain","ES",0
85,1990,2,"Agriculture and Rural Development","AGRI",1,"Belgium","BE",0
86,1990,2,"Agriculture and Rural Development","AGRI",2,"France","FR",0
87,1990,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",0
88,1990,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",0
89,1990,2,"Agriculture and Rural Development","AGRI",5,"Luxembourg","LU",0
90,1990,2,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",0
91,1990,2,"Agriculture and Rural Development","AGRI",7,"Denmark","DK",0
92,1990,2,"Agriculture and Rural Development","AGRI",8,"Ireland","IE",0
93,1990,2,"Agriculture and Rural Development","AGRI",9,"United Kingdom","UK",0
94,1990,2,"Agriculture and Rural Development","AGRI",10,"Greece","EL",0
95,1990,2,"Agriculture and Rural Development","AGRI",11,"Portugal","PT",0
96,1990,2,"Agriculture and Rural Development","AGRI",12,"Spain","ES",0
97,1990,3,"Maritime Affairs and Fisheries","MARE",1,"Belgium","BE",0
98,1990,3,"Maritime Affairs and Fisheries","MARE",2,"France","FR",0
99,1990,3,"Maritime Affairs and Fisheries","MARE",3,"Germany","DE",0
100,1990,3,"Maritime Affairs and Fisheries","MARE",4,"Italy","IT",0
101,1990,3,"Maritime Affairs and Fisheries","MARE",5,"Luxembourg","LU",0
102,1990,3,"Maritime Affairs and Fisheries","MARE",6,"Netherlands","NL",0
103,1990,3,"Maritime Affairs and Fisheries","MARE",7,"Denmark","DK",0
104,1990,3,"Maritime Affairs and Fisheries","MARE",8,"Ireland","IE",0
105,1990,3,"Maritime Affairs and Fisheries","MARE",9,"United Kingdom","UK",0
106,1990,3,"Maritime Affairs and Fisheries","MARE",10,"Greece","EL",0
107,1990,3,"Maritime Affairs and Fisheries","MARE",11,"Portugal","PT",0
108,1990,3,"Maritime Affairs and Fisheries","MARE",12,"Spain","ES",0
109,1991,1,"Competition","COMP",1,"Belgium","BE",0
110,1991,1,"Competition","COMP",2,"France","FR",0
111,1991,1,"Competition","COMP",3,"Germany","DE",0
112,1991,1,"Competition","COMP",4,"Italy","IT",0
113,1991,1,"Competition","COMP",5,"Luxembourg","LU",0
114,1991,1,"Competition","COMP",6,"Netherlands","NL",0
115,1991,1,"Competition","COMP",7,"Denmark","DK",0
116,1991,1,"Competition","COMP",8,"Ireland","IE",0
117,1991,1,"Competition","COMP",9,"United Kingdom","UK",0
118,1991,1,"Competition","COMP",10,"Greece","EL",0
119,1991,1,"Competition","COMP",11,"Portugal","PT",0
120,1991,1,"Competition","COMP",12,"Spain","ES",0
121,1991,2,"Agriculture and Rural Development","AGRI",1,"Belgium","BE",0
122,1991,2,"Agriculture and Rural Development","AGRI",2,"France","FR",0
123,1991,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",0
124,1991,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",0
125,1991,2,"Agriculture and Rural Development","AGRI",5,"Luxembourg","LU",0
126,1991,2,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",0
127,1991,2,"Agriculture and Rural Development","AGRI",7,"Denmark","DK",0
128,1991,2,"Agriculture and Rural Development","AGRI",8,"Ireland","IE",0
129,1991,2,"Agriculture and Rural Development","AGRI",9,"United Kingdom","UK",0
130,1991,2,"Agriculture and Rural Development","AGRI",10,"Greece","EL",0
131,1991,2,"Agriculture and Rural Development","AGRI",11,"Portugal","PT",0
132,1991,2,"Agriculture and Rural Development","AGRI",12,"Spain","ES",0
133,1991,3,"Maritime Affairs and Fisheries","MARE",1,"Belgium","BE",0
134,1991,3,"Maritime Affairs and Fisheries","MARE",2,"France","FR",0
135,1991,3,"Maritime Affairs and Fisheries","MARE",3,"Germany","DE",0
136,1991,3,"Maritime Affairs and Fisheries","MARE",4,"Italy","IT",0
137,1991,3,"Maritime Affairs and Fisheries","MARE",5,"Luxembourg","LU",0
138,1991,3,"Maritime Affairs and Fisheries","MARE",6,"Netherlands","NL",0
139,1991,3,"Maritime Affairs and Fisheries","MARE",7,"Denmark","DK",0
140,1991,3,"Maritime Affairs and Fisheries","MARE",8,"Ireland","IE",0
141,1991,3,"Maritime Affairs and Fisheries","MARE",9,"United Kingdom","UK",0
142,1991,3,"Maritime Affairs and Fisheries","MARE",10,"Greece","EL",0
143,1991,3,"Maritime Affairs and Fisheries","MARE",11,"Portugal","PT",0
144,1991,3,"Maritime Affairs and Fisheries","MARE",12,"Spain","ES",0
145,1992,1,"Competition","COMP",1,"Belgium","BE",0
146,1992,1,"Competition","COMP",2,"France","FR",0
147,1992,1,"Competition","COMP",3,"Germany","DE",1
148,1992,1,"Competition","COMP",4,"Italy","IT",1
149,1992,1,"Competition","COMP",5,"Luxembourg","LU",0
150,1992,1,"Competition","COMP",6,"Netherlands","NL",0
151,1992,1,"Competition","COMP",7,"Denmark","DK",0
152,1992,1,"Competition","COMP",8,"Ireland","IE",0
153,1992,1,"Competition","COMP",9,"United Kingdom","UK",0
154,1992,1,"Competition","COMP",10,"Greece","EL",0
155,1992,1,"Competition","COMP",11,"Portugal","PT",0
156,1992,1,"Competition","COMP",12,"Spain","ES",0
157,1992,2,"Agriculture and Rural Development","AGRI",1,"Belgium","BE",0
158,1992,2,"Agriculture and Rural Development","AGRI",2,"France","FR",0
159,1992,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",0
160,1992,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",0
161,1992,2,"Agriculture and Rural Development","AGRI",5,"Luxembourg","LU",0
162,1992,2,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",0
163,1992,2,"Agriculture and Rural Development","AGRI",7,"Denmark","DK",0
164,1992,2,"Agriculture and Rural Development","AGRI",8,"Ireland","IE",0
165,1992,2,"Agriculture and Rural Development","AGRI",9,"United Kingdom","UK",0
166,1992,2,"Agriculture and Rural Development","AGRI",10,"Greece","EL",0
167,1992,2,"Agriculture and Rural Development","AGRI",11,"Portugal","PT",0
168,1992,2,"Agriculture and Rural Development","AGRI",12,"Spain","ES",0
169,1992,3,"Maritime Affairs and Fisheries","MARE",1,"Belgium","BE",0
170,1992,3,"Maritime Affairs and Fisheries","MARE",2,"France","FR",0
171,1992,3,"Maritime Affairs and Fisheries","MARE",3,"Germany","DE",0
172,1992,3,"Maritime Affairs and Fisheries","MARE",4,"Italy","IT",0
173,1992,3,"Maritime Affairs and Fisheries","MARE",5,"Luxembourg","LU",0
174,1992,3,"Maritime Affairs and Fisheries","MARE",6,"Netherlands","NL",0
175,1992,3,"Maritime Affairs and Fisheries","MARE",7,"Denmark","DK",0
176,1992,3,"Maritime Affairs and Fisheries","MARE",8,"Ireland","IE",0
177,1992,3,"Maritime Affairs and Fisheries","MARE",9,"United Kingdom","UK",0
178,1992,3,"Maritime Affairs and Fisheries","MARE",10,"Greece","EL",0
179,1992,3,"Maritime Affairs and Fisheries","MARE",11,"Portugal","PT",0
180,1992,3,"Maritime Affairs and Fisheries","MARE",12,"Spain","ES",0
181,1993,1,"Competition","COMP",1,"Belgium","BE",1
182,1993,1,"Competition","COMP",2,"France","FR",0
183,1993,1,"Competition","COMP",3,"Germany","DE",0
184,1993,1,"Competition","COMP",4,"Italy","IT",1
185,1993,1,"Competition","COMP",5,"Luxembourg","LU",0
186,1993,1,"Competition","COMP",6,"Netherlands","NL",0
187,1993,1,"Competition","COMP",7,"Denmark","DK",0
188,1993,1,"Competition","COMP",8,"Ireland","IE",0
189,1993,1,"Competition","COMP",9,"United Kingdom","UK",0
190,1993,1,"Competition","COMP",10,"Greece","EL",0
191,1993,1,"Competition","COMP",11,"Portugal","PT",0
192,1993,1,"Competition","COMP",12,"Spain","ES",1
193,1993,2,"Agriculture and Rural Development","AGRI",1,"Belgium","BE",0
194,1993,2,"Agriculture and Rural Development","AGRI",2,"France","FR",0
195,1993,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",0
196,1993,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",0
197,1993,2,"Agriculture and Rural Development","AGRI",5,"Luxembourg","LU",0
198,1993,2,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",0
199,1993,2,"Agriculture and Rural Development","AGRI",7,"Denmark","DK",0
200,1993,2,"Agriculture and Rural Development","AGRI",8,"Ireland","IE",0
201,1993,2,"Agriculture and Rural Development","AGRI",9,"United Kingdom","UK",0
202,1993,2,"Agriculture and Rural Development","AGRI",10,"Greece","EL",0
203,1993,2,"Agriculture and Rural Development","AGRI",11,"Portugal","PT",0
204,1993,2,"Agriculture and Rural Development","AGRI",12,"Spain","ES",0
205,1993,3,"Maritime Affairs and Fisheries","MARE",1,"Belgium","BE",0
206,1993,3,"Maritime Affairs and Fisheries","MARE",2,"France","FR",0
207,1993,3,"Maritime Affairs and Fisheries","MARE",3,"Germany","DE",0
208,1993,3,"Maritime Affairs and Fisheries","MARE",4,"Italy","IT",0
209,1993,3,"Maritime Affairs and Fisheries","MARE",5,"Luxembourg","LU",0
210,1993,3,"Maritime Affairs and Fisheries","MARE",6,"Netherlands","NL",0
211,1993,3,"Maritime Affairs and Fisheries","MARE",7,"Denmark","DK",0
212,1993,3,"Maritime Affairs and Fisheries","MARE",8,"Ireland","IE",0
213,1993,3,"Maritime Affairs and Fisheries","MARE",9,"United Kingdom","UK",0
214,1993,3,"Maritime Affairs and Fisheries","MARE",10,"Greece","EL",0
215,1993,3,"Maritime Affairs and Fisheries","MARE",11,"Portugal","PT",0
216,1993,3,"Maritime Affairs and Fisheries","MARE",12,"Spain","ES",0
217,1994,1,"Competition","COMP",1,"Belgium","BE",0
218,1994,1,"Competition","COMP",2,"France","FR",0
219,1994,1,"Competition","COMP",3,"Germany","DE",0
220,1994,1,"Competition","COMP",4,"Italy","IT",2
221,1994,1,"Competition","COMP",5,"Luxembourg","LU",0
222,1994,1,"Competition","COMP",6,"Netherlands","NL",0
223,1994,1,"Competition","COMP",7,"Denmark","DK",0
224,1994,1,"Competition","COMP",8,"Ireland","IE",0
225,1994,1,"Competition","COMP",9,"United Kingdom","UK",0
226,1994,1,"Competition","COMP",10,"Greece","EL",0
227,1994,1,"Competition","COMP",11,"Portugal","PT",0
228,1994,1,"Competition","COMP",12,"Spain","ES",0
229,1994,2,"Agriculture and Rural Development","AGRI",1,"Belgium","BE",0
230,1994,2,"Agriculture and Rural Development","AGRI",2,"France","FR",0
231,1994,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",0
232,1994,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",1
233,1994,2,"Agriculture and Rural Development","AGRI",5,"Luxembourg","LU",0
234,1994,2,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",0
235,1994,2,"Agriculture and Rural Development","AGRI",7,"Denmark","DK",0
236,1994,2,"Agriculture and Rural Development","AGRI",8,"Ireland","IE",0
237,1994,2,"Agriculture and Rural Development","AGRI",9,"United Kingdom","UK",0
238,1994,2,"Agriculture and Rural Development","AGRI",10,"Greece","EL",1
239,1994,2,"Agriculture and Rural Development","AGRI",11,"Portugal","PT",0
240,1994,2,"Agriculture and Rural Development","AGRI",12,"Spain","ES",0
241,1994,3,"Maritime Affairs and Fisheries","MARE",1,"Belgium","BE",0
242,1994,3,"Maritime Affairs and Fisheries","MARE",2,"France","FR",0
243,1994,3,"Maritime Affairs and Fisheries","MARE",3,"Germany","DE",0
244,1994,3,"Maritime Affairs and Fisheries","MARE",4,"Italy","IT",0
245,1994,3,"Maritime Affairs and Fisheries","MARE",5,"Luxembourg","LU",0
246,1994,3,"Maritime Affairs and Fisheries","MARE",6,"Netherlands","NL",0
247,1994,3,"Maritime Affairs and Fisheries","MARE",7,"Denmark","DK",0
248,1994,3,"Maritime Affairs and Fisheries","MARE",8,"Ireland","IE",0
249,1994,3,"Maritime Affairs and Fisheries","MARE",9,"United Kingdom","UK",0
250,1994,3,"Maritime Affairs and Fisheries","MARE",10,"Greece","EL",0
251,1994,3,"Maritime Affairs and Fisheries","MARE",11,"Portugal","PT",0
252,1994,3,"Maritime Affairs and Fisheries","MARE",12,"Spain","ES",0
253,1995,1,"Competition","COMP",1,"Belgium","BE",1
254,1995,1,"Competition","COMP",2,"France","FR",1
255,1995,1,"Competition","COMP",3,"Germany","DE",1
256,1995,1,"Competition","COMP",4,"Italy","IT",2
257,1995,1,"Competition","COMP",5,"Luxembourg","LU",0
258,1995,1,"Competition","COMP",6,"Netherlands","NL",1
259,1995,1,"Competition","COMP",7,"Denmark","DK",0
260,1995,1,"Competition","COMP",8,"Ireland","IE",0
261,1995,1,"Competition","COMP",9,"United Kingdom","UK",2
262,1995,1,"Competition","COMP",10,"Greece","EL",0
263,1995,1,"Competition","COMP",11,"Portugal","PT",0
264,1995,1,"Competition","COMP",12,"Spain","ES",2
265,1995,1,"Competition","COMP",13,"Austria","AT",0
266,1995,1,"Competition","COMP",14,"Finland","FI",0
267,1995,1,"Competition","COMP",15,"Sweden","SE",0
268,1995,2,"Agriculture and Rural Development","AGRI",1,"Belgium","BE",0
269,1995,2,"Agriculture and Rural Development","AGRI",2,"France","FR",1
270,1995,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",1
271,1995,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",4
272,1995,2,"Agriculture and Rural Development","AGRI",5,"Luxembourg","LU",0
273,1995,2,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",0
274,1995,2,"Agriculture and Rural Development","AGRI",7,"Denmark","DK",0
275,1995,2,"Agriculture and Rural Development","AGRI",8,"Ireland","IE",0
276,1995,2,"Agriculture and Rural Development","AGRI",9,"United Kingdom","UK",0
277,1995,2,"Agriculture and Rural Development","AGRI",10,"Greece","EL",0
278,1995,2,"Agriculture and Rural Development","AGRI",11,"Portugal","PT",0
279,1995,2,"Agriculture and Rural Development","AGRI",12,"Spain","ES",0
280,1995,2,"Agriculture and Rural Development","AGRI",13,"Austria","AT",0
281,1995,2,"Agriculture and Rural Development","AGRI",14,"Finland","FI",0
282,1995,2,"Agriculture and Rural Development","AGRI",15,"Sweden","SE",0
283,1995,3,"Maritime Affairs and Fisheries","MARE",1,"Belgium","BE",0
284,1995,3,"Maritime Affairs and Fisheries","MARE",2,"France","FR",0
285,1995,3,"Maritime Affairs and Fisheries","MARE",3,"Germany","DE",0
286,1995,3,"Maritime Affairs and Fisheries","MARE",4,"Italy","IT",0
287,1995,3,"Maritime Affairs and Fisheries","MARE",5,"Luxembourg","LU",0
288,1995,3,"Maritime Affairs and Fisheries","MARE",6,"Netherlands","NL",0
289,1995,3,"Maritime Affairs and Fisheries","MARE",7,"Denmark","DK",0
290,1995,3,"Maritime Affairs and Fisheries","MARE",8,"Ireland","IE",0
291,1995,3,"Maritime Affairs and Fisheries","MARE",9,"United Kingdom","UK",0
292,1995,3,"Maritime Affairs and Fisheries","MARE",10,"Greece","EL",0
293,1995,3,"Maritime Affairs and Fisheries","MARE",11,"Portugal","PT",0
294,1995,3,"Maritime Affairs and Fisheries","MARE",12,"Spain","ES",0
295,1995,3,"Maritime Affairs and Fisheries","MARE",13,"Austria","AT",0
296,1995,3,"Maritime Affairs and Fisheries","MARE",14,"Finland","FI",1
297,1995,3,"Maritime Affairs and Fisheries","MARE",15,"Sweden","SE",0
298,1996,1,"Competition","COMP",1,"Belgium","BE",0
299,1996,1,"Competition","COMP",2,"France","FR",5
300,1996,1,"Competition","COMP",3,"Germany","DE",2
301,1996,1,"Competition","COMP",4,"Italy","IT",2
302,1996,1,"Competition","COMP",5,"Luxembourg","LU",1
303,1996,1,"Competition","COMP",6,"Netherlands","NL",1
304,1996,1,"Competition","COMP",7,"Denmark","DK",1
305,1996,1,"Competition","COMP",8,"Ireland","IE",0
306,1996,1,"Competition","COMP",9,"United Kingdom","UK",0
307,1996,1,"Competition","COMP",10,"Greece","EL",1
308,1996,1,"Competition","COMP",11,"Portugal","PT",0
309,1996,1,"Competition","COMP",12,"Spain","ES",0
310,1996,1,"Competition","COMP",13,"Austria","AT",0
311,1996,1,"Competition","COMP",14,"Finland","FI",0
312,1996,1,"Competition","COMP",15,"Sweden","SE",1
313,1996,2,"Agriculture and Rural Development","AGRI",1,"Belgium","BE",0
314,1996,2,"Agriculture and Rural Development","AGRI",2,"France","FR",0
315,1996,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",0
316,1996,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",8
317,1996,2,"Agriculture and Rural Development","AGRI",5,"Luxembourg","LU",0
318,1996,2,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",0
319,1996,2,"Agriculture and Rural Development","AGRI",7,"Denmark","DK",0
320,1996,2,"Agriculture and Rural Development","AGRI",8,"Ireland","IE",0
321,1996,2,"Agriculture and Rural Development","AGRI",9,"United Kingdom","UK",0
322,1996,2,"Agriculture and Rural Development","AGRI",10,"Greece","EL",0
323,1996,2,"Agriculture and Rural Development","AGRI",11,"Portugal","PT",0
324,1996,2,"Agriculture and Rural Development","AGRI",12,"Spain","ES",1
325,1996,2,"Agriculture and Rural Development","AGRI",13,"Austria","AT",1
326,1996,2,"Agriculture and Rural Development","AGRI",14,"Finland","FI",0
327,1996,2,"Agriculture and Rural Development","AGRI",15,"Sweden","SE",0
328,1996,3,"Maritime Affairs and Fisheries","MARE",1,"Belgium","BE",0
329,1996,3,"Maritime Affairs and Fisheries","MARE",2,"France","FR",0
330,1996,3,"Maritime Affairs and Fisheries","MARE",3,"Germany","DE",0
331,1996,3,"Maritime Affairs and Fisheries","MARE",4,"Italy","IT",1
332,1996,3,"Maritime Affairs and Fisheries","MARE",5,"Luxembourg","LU",0
333,1996,3,"Maritime Affairs and Fisheries","MARE",6,"Netherlands","NL",0
334,1996,3,"Maritime Affairs and Fisheries","MARE",7,"Denmark","DK",0
335,1996,3,"Maritime Affairs and Fisheries","MARE",8,"Ireland","IE",0
336,1996,3,"Maritime Affairs and Fisheries","MARE",9,"United Kingdom","UK",0
337,1996,3,"Maritime Affairs and Fisheries","MARE",10,"Greece","EL",0
338,1996,3,"Maritime Affairs and Fisheries","MARE",11,"Portugal","PT",0
339,1996,3,"Maritime Affairs and Fisheries","MARE",12,"Spain","ES",0
340,1996,3,"Maritime Affairs and Fisheries","MARE",13,"Austria","AT",0
341,1996,3,"Maritime Affairs and Fisheries","MARE",14,"Finland","FI",0
342,1996,3,"Maritime Affairs and Fisheries","MARE",15,"Sweden","SE",0
343,1997,1,"Competition","COMP",1,"Belgium","BE",0
344,1997,1,"Competition","COMP",2,"France","FR",3
345,1997,1,"Competition","COMP",3,"Germany","DE",20
346,1997,1,"Competition","COMP",4,"Italy","IT",10
347,1997,1,"Competition","COMP",5,"Luxembourg","LU",0
348,1997,1,"Competition","COMP",6,"Netherlands","NL",1
349,1997,1,"Competition","COMP",7,"Denmark","DK",0
350,1997,1,"Competition","COMP",8,"Ireland","IE",1
351,1997,1,"Competition","COMP",9,"United Kingdom","UK",0
352,1997,1,"Competition","COMP",10,"Greece","EL",2
353,1997,1,"Competition","COMP",11,"Portugal","PT",2
354,1997,1,"Competition","COMP",12,"Spain","ES",10
355,1997,1,"Competition","COMP",13,"Austria","AT",0
356,1997,1,"Competition","COMP",14,"Finland","FI",0
357,1997,1,"Competition","COMP",15,"Sweden","SE",2
358,1997,2,"Agriculture and Rural Development","AGRI",1,"Belgium","BE",0
359,1997,2,"Agriculture and Rural Development","AGRI",2,"France","FR",0
360,1997,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",4
361,1997,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",6
362,1997,2,"Agriculture and Rural Development","AGRI",5,"Luxembourg","LU",0
363,1997,2,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",1
364,1997,2,"Agriculture and Rural Development","AGRI",7,"Denmark","DK",0
365,1997,2,"Agriculture and Rural Development","AGRI",8,"Ireland","IE",0
366,1997,2,"Agriculture and Rural Development","AGRI",9,"United Kingdom","UK",0
367,1997,2,"Agriculture and Rural Development","AGRI",10,"Greece","EL",2
368,1997,2,"Agriculture and Rural Development","AGRI",11,"Portugal","PT",0
369,1997,2,"Agriculture and Rural Development","AGRI",12,"Spain","ES",1
370,1997,2,"Agriculture and Rural Development","AGRI",13,"Austria","AT",1
371,1997,2,"Agriculture and Rural Development","AGRI",14,"Finland","FI",0
372,1997,2,"Agriculture and Rural Development","AGRI",15,"Sweden","SE",0
373,1997,3,"Maritime Affairs and Fisheries","MARE",1,"Belgium","BE",0
374,1997,3,"Maritime Affairs and Fisheries","MARE",2,"France","FR",2
375,1997,3,"Maritime Affairs and Fisheries","MARE",3,"Germany","DE",1
376,1997,3,"Maritime Affairs and Fisheries","MARE",4,"Italy","IT",6
377,1997,3,"Maritime Affairs and Fisheries","MARE",5,"Luxembourg","LU",0
378,1997,3,"Maritime Affairs and Fisheries","MARE",6,"Netherlands","NL",0
379,1997,3,"Maritime Affairs and Fisheries","MARE",7,"Denmark","DK",0
380,1997,3,"Maritime Affairs and Fisheries","MARE",8,"Ireland","IE",0
381,1997,3,"Maritime Affairs and Fisheries","MARE",9,"United Kingdom","UK",0
382,1997,3,"Maritime Affairs and Fisheries","MARE",10,"Greece","EL",0
383,1997,3,"Maritime Affairs and Fisheries","MARE",11,"Portugal","PT",1
384,1997,3,"Maritime Affairs and Fisheries","MARE",12,"Spain","ES",0
385,1997,3,"Maritime Affairs and Fisheries","MARE",13,"Austria","AT",0
386,1997,3,"Maritime Affairs and Fisheries","MARE",14,"Finland","FI",0
387,1997,3,"Maritime Affairs and Fisheries","MARE",15,"Sweden","SE",0
388,1998,1,"Competition","COMP",1,"Belgium","BE",6
389,1998,1,"Competition","COMP",2,"France","FR",8
390,1998,1,"Competition","COMP",3,"Germany","DE",51
391,1998,1,"Competition","COMP",4,"Italy","IT",31
392,1998,1,"Competition","COMP",5,"Luxembourg","LU",0
