"key_ID","year","member_state_ID","member_state","member_state_code","decision_type_ID","decision_type","count_decisions"
59,1988,3,"Germany","DE",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
60,1988,3,"Germany","DE",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
61,1988,4,"Italy","IT",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
62,1988,4,"Italy","IT",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
63,1988,4,"Italy","IT",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
64,1988,4,"Italy","IT",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
65,1988,4,"Italy","IT",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
66,1988,4,"Italy","IT",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
67,1988,4,"Italy","IT",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
68,1988,4,"Italy","IT",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
69,1988,4,"Italy","IT",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
70,1988,4,"Italy","IT",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
71,1988,4,"Italy","IT",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
72,1988,4,"Italy","IT",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
73,1988,4,"Italy","IT",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
74,1988,4,"Italy","IT",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
75,1988,4,"Italy","IT",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
76,1988,4,"Italy","IT",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
77,1988,4,"Italy","IT",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
78,1988,4,"Italy","IT",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
79,1988,4,"Italy","IT",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
80,1988,4,"Italy","IT",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
81,1988,5,"Luxembourg","LU",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
82,1988,5,"Luxembourg","LU",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
83,1988,5,"Luxembourg","LU",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
84,1988,5,"Luxembourg","LU",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
85,1988,5,"Luxembourg","LU",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
86,1988,5,"Luxembourg","LU",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
87,1988,5,"Luxembourg","LU",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
88,1988,5,"Luxembourg","LU",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
89,1988,5,"Luxembourg","LU",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
90,1988,5,"Luxembourg","LU",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
91,1988,5,"Luxembourg","LU",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
92,1988,5,"Luxembourg","LU",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
93,1988,5,"Luxembourg","LU",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
94,1988,5,"Luxembourg","LU",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
95,1988,5,"Luxembourg","LU",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
96,1988,5,"Luxembourg","LU",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
97,1988,5,"Luxembourg","LU",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
98,1988,5,"Luxembourg","LU",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
99,1988,5,"Luxembourg","LU",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
100,1988,5,"Luxembourg","LU",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
101,1988,6,"Netherlands","NL",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
102,1988,6,"Netherlands","NL",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
103,1988,6,"Netherlands","NL",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
104,1988,6,"Netherlands","NL",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
105,1988,6,"Netherlands","NL",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
106,1988,6,"Netherlands","NL",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
107,1988,6,"Netherlands","NL",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
108,1988,6,"Netherlands","NL",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
109,1988,6,"Netherlands","NL",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
110,1988,6,"Netherlands","NL",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
111,1988,6,"Netherlands","NL",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
112,1988,6,"Netherlands","NL",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
113,1988,6,"Netherlands","NL",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
114,1988,6,"Netherlands","NL",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
115,1988,6,"Netherlands","NL",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
116,1988,6,"Netherlands","NL",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
117,1988,6,"Netherlands","NL",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
118,1988,6,"Netherlands","NL",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
119,1988,6,"Netherlands","NL",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
120,1988,6,"Netherlands","NL",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
121,1988,7,"Denmark","DK",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
122,1988,7,"Denmark","DK",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
123,1988,7,"Denmark","DK",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
124,1988,7,"Denmark","DK",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
125,1988,7,"Denmark","DK",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
126,1988,7,"Denmark","DK",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
127,1988,7,"Denmark","DK",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
128,1988,7,"Denmark","DK",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
129,1988,7,"Denmark","DK",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
130,1988,7,"Denmark","DK",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
131,1988,7,"Denmark","DK",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
132,1988,7,"Denmark","DK",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
133,1988,7,"Denmark","DK",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
134,1988,7,"Denmark","DK",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
135,1988,7,"Denmark","DK",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
136,1988,7,"Denmark","DK",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
137,1988,7,"Denmark","DK",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
138,1988,7,"Denmark","DK",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
139,1988,7,"Denmark","DK",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
140,1988,7,"Denmark","DK",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
141,1988,8,"Ireland","IE",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
142,1988,8,"Ireland","IE",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
143,1988,8,"Ireland","IE",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
144,1988,8,"Ireland","IE",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
145,1988,8,"Ireland","IE",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
146,1988,8,"Ireland","IE",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
147,1988,8,"Ireland","IE",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
148,1988,8,"Ireland","IE",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
149,1988,8,"Ireland","IE",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
150,1988,8,"Ireland","IE",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
151,1988,8,"Ireland","IE",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
152,1988,8,"Ireland","IE",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
153,1988,8,"Ireland","IE",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
154,1988,8,"Ireland","IE",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
155,1988,8,"Ireland","IE",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
156,1988,8,"Ireland","IE",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
157,1988,8,"Ireland","IE",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
158,1988,8,"Ireland","IE",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
159,1988,8,"Ireland","IE",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
160,1988,8,"Ireland","IE",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
161,1988,9,"United Kingdom","UK",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
162,1988,9,"United Kingdom","UK",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
163,1988,9,"United Kingdom","UK",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
164,1988,9,"United Kingdom","UK",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
165,1988,9,"United Kingdom","UK",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
166,1988,9,"United Kingdom","UK",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
167,1988,9,"United Kingdom","UK",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
168,1988,9,"United Kingdom","UK",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
169,1988,9,"United Kingdom","UK",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
170,1988,9,"United Kingdom","UK",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
171,1988,9,"United Kingdom","UK",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
172,1988,9,"United Kingdom","UK",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
173,1988,9,"United Kingdom","UK",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
174,1988,9,"United Kingdom","UK",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
175,1988,9,"United Kingdom","UK",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
176,1988,9,"United Kingdom","UK",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
177,1988,9,"United Kingdom","UK",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
178,1988,9,"United Kingdom","UK",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
179,1988,9,"United Kingdom","UK",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
180,1988,9,"United Kingdom","UK",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
181,1988,10,"Greece","EL",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
182,1988,10,"Greece","EL",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
183,1988,10,"Greece","EL",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
184,1988,10,"Greece","EL",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
185,1988,10,"Greece","EL",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
186,1988,10,"Greece","EL",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
187,1988,10,"Greece","EL",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
188,1988,10,"Greece","EL",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
189,1988,10,"Greece","EL",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
190,1988,10,"Greece","EL",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
191,1988,10,"Greece","EL",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
192,1988,10,"Greece","EL",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
193,1988,10,"Greece","EL",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
194,1988,10,"Greece","EL",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
195,1988,10,"Greece","EL",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
196,1988,10,"Greece","EL",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
197,1988,10,"Greece","EL",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
198,1988,10,"Greece","EL",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
199,1988,10,"Greece","EL",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
200,1988,10,"Greece","EL",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
201,1988,11,"Portugal","PT",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
202,1988,11,"Portugal","PT",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
203,1988,11,"Portugal","PT",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
204,1988,11,"Portugal","PT",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
205,1988,11,"Portugal","PT",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
206,1988,11,"Portugal","PT",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
207,1988,11,"Portugal","PT",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
208,1988,11,"Portugal","PT",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
209,1988,11,"Portugal","PT",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
210,1988,11,"Portugal","PT",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
211,1988,11,"Portugal","PT",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
212,1988,11,"Portugal","PT",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
213,1988,11,"Portugal","PT",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
214,1988,11,"Portugal","PT",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
215,1988,11,"Portugal","PT",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
216,1988,11,"Portugal","PT",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
217,1988,11,"Portugal","PT",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
218,1988,11,"Portugal","PT",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
219,1988,11,"Portugal","PT",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
220,1988,11,"Portugal","PT",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
221,1988,12,"Spain","ES",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
222,1988,12,"Spain","ES",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
223,1988,12,"Spain","ES",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
224,1988,12,"Spain","ES",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
225,1988,12,"Spain","ES",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
226,1988,12,"Spain","ES",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
227,1988,12,"Spain","ES",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
228,1988,12,"Spain","ES",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
229,1988,12,"Spain","ES",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
230,1988,12,"Spain","ES",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
231,1988,12,"Spain","ES",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
