"key_ID","year","decision_type_ID","decision_type","count_cases"
52,1990,12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
53,1990,13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
54,1990,14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
55,1990,15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
56,1990,16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
57,1990,17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
58,1990,18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
59,1990,19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
60,1990,20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
61,1991,1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
62,1991,2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
63,1991,3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
64,1991,4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
65,1991,5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
66,1991,6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
67,1991,7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
68,1991,8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
69,1991,9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
70,1991,10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
71,1991,11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
72,1991,12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
73,1991,13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
74,1991,14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
75,1991,15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
76,1991,16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
77,1991,17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
78,1991,18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
79,1991,19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
80,1991,20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
81,1992,1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
82,1992,2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
83,1992,3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",2
84,1992,4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
85,1992,5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
86,1992,6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
87,1992,7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
88,1992,8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
89,1992,9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
90,1992,10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
91,1992,11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",1
92,1992,12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
93,1992,13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
94,1992,14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
95,1992,15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
96,1992,16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
97,1992,17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
98,1992,18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
99,1992,19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
100,1992,20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
101,1993,1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
102,1993,2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
103,1993,3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",1
104,1993,4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",3
105,1993,5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",2
106,1993,6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",1
107,1993,7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",1
108,1993,8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
109,1993,9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
110,1993,10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",2
111,1993,11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",1
112,1993,12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
113,1993,13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
114,1993,14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
115,1993,15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",1
116,1993,16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
117,1993,17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
118,1993,18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
119,1993,19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
120,1993,20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
121,1994,1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
122,1994,2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
123,1994,3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",1
124,1994,4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",4
125,1994,5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",1
126,1994,6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
127,1994,7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",1
128,1994,8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
129,1994,9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
130,1994,10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
131,1994,11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",1
132,1994,12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
133,1994,13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
134,1994,14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
135,1994,15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",1
136,1994,16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
137,1994,17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
138,1994,18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",2
139,1994,19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
140,1994,20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
141,1995,1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",2
142,1995,2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
143,1995,3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",7
144,1995,4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",11
145,1995,5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
146,1995,6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",3
147,1995,7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",1
148,1995,8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
149,1995,9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
150,1995,10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",6
151,1995,11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",1
152,1995,12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
153,1995,13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",3
154,1995,14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
155,1995,15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",1
156,1995,16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
157,1995,17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
158,1995,18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",3
159,1995,19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
160,1995,20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
161,1996,1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
162,1996,2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",1
163,1996,3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",9
164,1996,4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",17
165,1996,5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",2
166,1996,6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",2
167,1996,7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",7
168,1996,8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",3
169,1996,9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
170,1996,10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",6
171,1996,11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",5
172,1996,12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
173,1996,13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",1
174,1996,14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
175,1996,15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",2
176,1996,16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
177,1996,17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
178,1996,18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",1
179,1996,19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",1
180,1996,20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
181,1997,1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",1
182,1997,2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",3
183,1997,3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",38
184,1997,4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",40
185,1997,5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",7
186,1997,6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",3
187,1997,7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",19
188,1997,8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",1
189,1997,9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
190,1997,10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",11
191,1997,11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",16
192,1997,12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
193,1997,13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",1
194,1997,14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
195,1997,15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",6
196,1997,16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
197,1997,17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
198,1997,18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",1
199,1997,19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",6
200,1997,20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
201,1998,1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",3
202,1998,2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",6
203,1998,3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",227
204,1998,4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",65
205,1998,5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",4
206,1998,6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",5
207,1998,7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",26
208,1998,8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",6
209,1998,9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
210,1998,10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",18
211,1998,11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",14
212,1998,12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",1
213,1998,13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",5
214,1998,14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",2
215,1998,15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",5
216,1998,16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
217,1998,17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
218,1998,18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",2
219,1998,19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",1
220,1998,20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",1
221,1999,1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",10
222,1999,2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",22
223,1999,3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",618
224,1999,4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",83
225,1999,5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",5
226,1999,6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",5
227,1999,7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",24
228,1999,8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",3
229,1999,9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
230,1999,10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",18
231,1999,11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",24
232,1999,12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
233,1999,13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",11
234,1999,14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
235,1999,15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",21
236,1999,16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",1
237,1999,17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
238,1999,18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",7
239,1999,19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",9
240,1999,20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",1
241,2000,1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",17
242,2000,2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",38
243,2000,3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",610
244,2000,4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",71
245,2000,5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",6
246,2000,6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",3
247,2000,7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",35
248,2000,8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
249,2000,9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
250,2000,10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",14
251,2000,11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",17
252,2000,12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
253,2000,13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",8
254,2000,14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
255,2000,15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",11
256,2000,16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
257,2000,17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
258,2000,18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",6
259,2000,19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",5
260,2000,20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
261,2001,1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",162
262,2001,2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",28
263,2001,3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",638
264,2001,4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",95
265,2001,5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",7
266,2001,6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",3
267,2001,7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",31
268,2001,8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",3
269,2001,9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",1
270,2001,10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",26
271,2001,11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",20
272,2001,12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
273,2001,13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",4
274,2001,14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",1
275,2001,15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",19
276,2001,16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
277,2001,17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
278,2001,18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",6
279,2001,19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",1
280,2001,20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
281,2002,1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",214
282,2002,2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",21
