"key_ID","year","directorate_general_ID","directorate_general","directorate_general_code","decision_type_ID","decision_type","count_decisions"
53,1988,3,"Maritime Affairs and Fisheries","MARE",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
54,1988,3,"Maritime Affairs and Fisheries","MARE",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
55,1988,3,"Maritime Affairs and Fisheries","MARE",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
56,1988,3,"Maritime Affairs and Fisheries","MARE",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
57,1988,3,"Maritime Affairs and Fisheries","MARE",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
58,1988,3,"Maritime Affairs and Fisheries","MARE",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
59,1988,3,"Maritime Affairs and Fisheries","MARE",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
60,1988,3,"Maritime Affairs and Fisheries","MARE",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
61,1989,1,"Competition","COMP",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
62,1989,1,"Competition","COMP",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
63,1989,1,"Competition","COMP",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
64,1989,1,"Competition","COMP",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
65,1989,1,"Competition","COMP",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
66,1989,1,"Competition","COMP",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
67,1989,1,"Competition","COMP",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
68,1989,1,"Competition","COMP",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
69,1989,1,"Competition","COMP",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
70,1989,1,"Competition","COMP",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
71,1989,1,"Competition","COMP",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
72,1989,1,"Competition","COMP",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
73,1989,1,"Competition","COMP",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
74,1989,1,"Competition","COMP",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
75,1989,1,"Competition","COMP",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
76,1989,1,"Competition","COMP",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
77,1989,1,"Competition","COMP",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
78,1989,1,"Competition","COMP",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
79,1989,1,"Competition","COMP",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
80,1989,1,"Competition","COMP",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
81,1989,2,"Agriculture and Rural Development","AGRI",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
82,1989,2,"Agriculture and Rural Development","AGRI",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
83,1989,2,"Agriculture and Rural Development","AGRI",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
84,1989,2,"Agriculture and Rural Development","AGRI",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
85,1989,2,"Agriculture and Rural Development","AGRI",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
86,1989,2,"Agriculture and Rural Development","AGRI",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
87,1989,2,"Agriculture and Rural Development","AGRI",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
88,1989,2,"Agriculture and Rural Development","AGRI",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
89,1989,2,"Agriculture and Rural Development","AGRI",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
90,1989,2,"Agriculture and Rural Development","AGRI",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
91,1989,2,"Agriculture and Rural Development","AGRI",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
92,1989,2,"Agriculture and Rural Development","AGRI",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
93,1989,2,"Agriculture and Rural Development","AGRI",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
94,1989,2,"Agriculture and Rural Development","AGRI",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
95,1989,2,"Agriculture and Rural Development","AGRI",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
96,1989,2,"Agriculture and Rural Development","AGRI",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
97,1989,2,"Agriculture and Rural Development","AGRI",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
98,1989,2,"Agriculture and Rural Development","AGRI",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
99,1989,2,"Agriculture and Rural Development","AGRI",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
100,1989,2,"Agriculture and Rural Development","AGRI",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
101,1989,3,"Maritime Affairs and Fisheries","MARE",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
102,1989,3,"Maritime Affairs and Fisheries","MARE",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
103,1989,3,"Maritime Affairs and Fisheries","MARE",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
104,1989,3,"Maritime Affairs and Fisheries","MARE",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
105,1989,3,"Maritime Affairs and Fisheries","MARE",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
106,1989,3,"Maritime Affairs and Fisheries","MARE",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
107,1989,3,"Maritime Affairs and Fisheries","MARE",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
108,1989,3,"Maritime Affairs and Fisheries","MARE",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
109,1989,3,"Maritime Affairs and Fisheries","MARE",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
110,1989,3,"Maritime Affairs and Fisheries","MARE",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
111,1989,3,"Maritime Affairs and Fisheries","MARE",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
112,1989,3,"Maritime Affairs and Fisheries","MARE",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
113,1989,3,"Maritime Affairs and Fisheries","MARE",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
114,1989,3,"Maritime Affairs and Fisheries","MARE",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
115,1989,3,"Maritime Affairs and Fisheries","MARE",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
116,1989,3,"Maritime Affairs and Fisheries","MARE",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
117,1989,3,"Maritime Affairs and Fisheries","MARE",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
118,1989,3,"Maritime Affairs and Fisheries","MARE",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
119,1989,3,"Maritime Affairs and Fisheries","MARE",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
120,1989,3,"Maritime Affairs and Fisheries","MARE",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
121,1990,1,"Competition","COMP",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
122,1990,1,"Competition","COMP",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
123,1990,1,"Competition","COMP",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
124,1990,1,"Competition","COMP",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
125,1990,1,"Competition","COMP",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
126,1990,1,"Competition","COMP",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
127,1990,1,"Competition","COMP",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
128,1990,1,"Competition","COMP",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
129,1990,1,"Competition","COMP",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
130,1990,1,"Competition","COMP",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
131,1990,1,"Competition","COMP",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
132,1990,1,"Competition","COMP",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
133,1990,1,"Competition","COMP",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
134,1990,1,"Competition","COMP",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
135,1990,1,"Competition","COMP",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
136,1990,1,"Competition","COMP",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
137,1990,1,"Competition","COMP",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
138,1990,1,"Competition","COMP",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
139,1990,1,"Competition","COMP",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
140,1990,1,"Competition","COMP",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
141,1990,2,"Agriculture and Rural Development","AGRI",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
142,1990,2,"Agriculture and Rural Development","AGRI",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
143,1990,2,"Agriculture and Rural Development","AGRI",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
144,1990,2,"Agriculture and Rural Development","AGRI",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
145,1990,2,"Agriculture and Rural Development","AGRI",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
146,1990,2,"Agriculture and Rural Development","AGRI",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
147,1990,2,"Agriculture and Rural Development","AGRI",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
148,1990,2,"Agriculture and Rural Development","AGRI",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
149,1990,2,"Agriculture and Rural Development","AGRI",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
150,1990,2,"Agriculture and Rural Development","AGRI",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
151,1990,2,"Agriculture and Rural Development","AGRI",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
152,1990,2,"Agriculture and Rural Development","AGRI",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
153,1990,2,"Agriculture and Rural Development","AGRI",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
154,1990,2,"Agriculture and Rural Development","AGRI",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
155,1990,2,"Agriculture and Rural Development","AGRI",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
156,1990,2,"Agriculture and Rural Development","AGRI",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
157,1990,2,"Agriculture and Rural Development","AGRI",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
158,1990,2,"Agriculture and Rural Development","AGRI",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
159,1990,2,"Agriculture and Rural Development","AGRI",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
160,1990,2,"Agriculture and Rural Development","AGRI",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
161,1990,3,"Maritime Affairs and Fisheries","MARE",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
162,1990,3,"Maritime Affairs and Fisheries","MARE",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
163,1990,3,"Maritime Affairs and Fisheries","MARE",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
164,1990,3,"Maritime Affairs and Fisheries","MARE",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
165,1990,3,"Maritime Affairs and Fisheries","MARE",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
166,1990,3,"Maritime Affairs and Fisheries","MARE",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
167,1990,3,"Maritime Affairs and Fisheries","MARE",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
168,1990,3,"Maritime Affairs and Fisheries","MARE",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
169,1990,3,"Maritime Affairs and Fisheries","MARE",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
170,1990,3,"Maritime Affairs and Fisheries","MARE",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
171,1990,3,"Maritime Affairs and Fisheries","MARE",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
172,1990,3,"Maritime Affairs and Fisheries","MARE",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
173,1990,3,"Maritime Affairs and Fisheries","MARE",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
174,1990,3,"Maritime Affairs and Fisheries","MARE",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
175,1990,3,"Maritime Affairs and Fisheries","MARE",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
176,1990,3,"Maritime Affairs and Fisheries","MARE",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
177,1990,3,"Maritime Affairs and Fisheries","MARE",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
178,1990,3,"Maritime Affairs and Fisheries","MARE",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
179,1990,3,"Maritime Affairs and Fisheries","MARE",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
180,1990,3,"Maritime Affairs and Fisheries","MARE",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
181,1991,1,"Competition","COMP",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
182,1991,1,"Competition","COMP",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
183,1991,1,"Competition","COMP",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
184,1991,1,"Competition","COMP",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
185,1991,1,"Competition","COMP",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
186,1991,1,"Competition","COMP",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
187,1991,1,"Competition","COMP",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
188,1991,1,"Competition","COMP",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
189,1991,1,"Competition","COMP",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
190,1991,1,"Competition","COMP",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
191,1991,1,"Competition","COMP",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
192,1991,1,"Competition","COMP",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
193,1991,1,"Competition","COMP",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
194,1991,1,"Competition","COMP",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
195,1991,1,"Competition","COMP",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
196,1991,1,"Competition","COMP",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
197,1991,1,"Competition","COMP",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
198,1991,1,"Competition","COMP",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
199,1991,1,"Competition","COMP",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
200,1991,1,"Competition","COMP",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
201,1991,2,"Agriculture and Rural Development","AGRI",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
202,1991,2,"Agriculture and Rural Development","AGRI",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
203,1991,2,"Agriculture and Rural Development","AGRI",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
204,1991,2,"Agriculture and Rural Development","AGRI",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
205,1991,2,"Agriculture and Rural Development","AGRI",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
206,1991,2,"Agriculture and Rural Development","AGRI",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
207,1991,2,"Agriculture and Rural Development","AGRI",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
208,1991,2,"Agriculture and Rural Development","AGRI",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
209,1991,2,"Agriculture and Rural Development","AGRI",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
