"key_ID","year","member_state_ID","member_state","member_state_code","aid_instrument_ID","aid_instrument","count_awards","total_amount_euros"
116,2016,8,"Ireland","IE",11,"tax advantage or tax exemption",5,0
117,2016,8,"Ireland","IE",12,"tax allowance",0,0
118,2016,8,"Ireland","IE",13,"tax base reduction",0,0
119,2016,8,"Ireland","IE",14,"tax rate reduction",0,0
120,2016,8,"Ireland","IE",15,"other",40,334629000
121,2016,9,"United Kingdom","UK",1,"direct grant",188,2394340000
122,2016,9,"United Kingdom","UK",2,"guarantee",0,0
123,2016,9,"United Kingdom","UK",3,"interest rate subsidy",193,371696000
124,2016,9,"United Kingdom","UK",4,"loan",1,629000
125,2016,9,"United Kingdom","UK",5,"provision of risk capital",0,0
126,2016,9,"United Kingdom","UK",6,"provision of risk finance",0,0
127,2016,9,"United Kingdom","UK",7,"reduction of social security contributions",0,0
128,2016,9,"United Kingdom","UK",8,"reimbursable grant",0,0
129,2016,9,"United Kingdom","UK",9,"soft loan",1,699000
130,2016,9,"United Kingdom","UK",10,"subsidised services",0,0
131,2016,9,"United Kingdom","UK",11,"tax advantage or tax exemption",11,14500000
132,2016,9,"United Kingdom","UK",12,"tax allowance",0,0
133,2016,9,"United Kingdom","UK",13,"tax base reduction",0,0
134,2016,9,"United Kingdom","UK",14,"tax rate reduction",151,252250000
135,2016,9,"United Kingdom","UK",15,"other",80,373102000
136,2016,10,"Greece","EL",1,"direct grant",0,0
137,2016,10,"Greece","EL",2,"guarantee",0,0
138,2016,10,"Greece","EL",3,"interest rate subsidy",27,170373000
139,2016,10,"Greece","EL",4,"loan",0,0
140,2016,10,"Greece","EL",5,"provision of risk capital",0,0
141,2016,10,"Greece","EL",6,"provision of risk finance",0,0
142,2016,10,"Greece","EL",7,"reduction of social security contributions",0,0
143,2016,10,"Greece","EL",8,"reimbursable grant",0,0
144,2016,10,"Greece","EL",9,"soft loan",0,0
145,2016,10,"Greece","EL",10,"subsidised services",0,0
146,2016,10,"Greece","EL",11,"tax advantage or tax exemption",0,0
147,2016,10,"Greece","EL",12,"tax allowance",0,0
148,2016,10,"Greece","EL",13,"tax base reduction",0,0
149,2016,10,"Greece","EL",14,"tax rate reduction",0,0
150,2016,10,"Greece","EL",15,"other",0,0
151,2016,11,"Portugal","PT",1,"direct grant",0,0
152,2016,11,"Portugal","PT",2,"guarantee",0,0
153,2016,11,"Portugal","PT",3,"interest rate subsidy",529,70289000
154,2016,11,"Portugal","PT",4,"loan",890,430798000
155,2016,11,"Portugal","PT",5,"provision of risk capital",0,0
156,2016,11,"Portugal","PT",6,"provision of risk finance",0,0
157,2016,11,"Portugal","PT",7,"reduction of social security contributions",0,0
158,2016,11,"Portugal","PT",8,"reimbursable grant",0,0
159,2016,11,"Portugal","PT",9,"soft loan",0,0
160,2016,11,"Portugal","PT",10,"subsidised services",0,0
161,2016,11,"Portugal","PT",11,"tax advantage or tax exemption",4,9250000
162,2016,11,"Portugal","PT",12,"tax allowance",0,0
163,2016,11,"Portugal","PT",13,"tax base reduction",0,0
164,2016,11,"Portugal","PT",14,"tax rate reduction",3,5750000
165,2016,11,"Portugal","PT",15,"other",0,0
166,2016,12,"Spain","ES",1,"direct grant",0,0
167,2016,12,"Spain","ES",2,"guarantee",0,0
168,2016,12,"Spain","ES",3,"interest rate subsidy",0,0
169,2016,12,"Spain","ES",4,"loan",0,0
170,2016,12,"Spain","ES",5,"provision of risk capital",0,0
171,2016,12,"Spain","ES",6,"provision of risk finance",0,0
172,2016,12,"Spain","ES",7,"reduction of social security contributions",0,0
173,2016,12,"Spain","ES",8,"reimbursable grant",0,0
174,2016,12,"Spain","ES",9,"soft loan",0,0
175,2016,12,"Spain","ES",10,"subsidised services",0,0
176,2016,12,"Spain","ES",11,"tax advantage or tax exemption",0,0
177,2016,12,"Spain","ES",12,"tax allowance",0,0
178,2016,12,"Spain","ES",13,"tax base reduction",0,0
179,2016,12,"Spain","ES",14,"tax rate reduction",0,0
180,2016,12,"Spain","ES",15,"other",0,0
181,2016,13,"Austria","AT",1,"direct grant",20,34493000
182,2016,13,"Austria","AT",2,"guarantee",6,683000
183,2016,13,"Austria","AT",3,"interest rate subsidy",134,154665000
184,2016,13,"Austria","AT",4,"loan",14,1236000
185,2016,13,"Austria","AT",5,"provision of risk capital",2,0
186,2016,13,"Austria","AT",6,"provision of risk finance",0,0
187,2016,13,"Austria","AT",7,"reduction of social security contributions",0,0
188,2016,13,"Austria","AT",8,"reimbursable grant",0,0
189,2016,13,"Austria","AT",9,"soft loan",1,80000
190,2016,13,"Austria","AT",10,"subsidised services",0,0
191,2016,13,"Austria","AT",11,"tax advantage or tax exemption",0,0
192,2016,13,"Austria","AT",12,"tax allowance",0,0
193,2016,13,"Austria","AT",13,"tax base reduction",0,0
194,2016,13,"Austria","AT",14,"tax rate reduction",0,0
195,2016,13,"Austria","AT",15,"other",0,0
196,2016,14,"Finland","FI",1,"direct grant",3,634000
197,2016,14,"Finland","FI",2,"guarantee",0,0
198,2016,14,"Finland","FI",3,"interest rate subsidy",50,55855000
199,2016,14,"Finland","FI",4,"loan",2,2505000
200,2016,14,"Finland","FI",5,"provision of risk capital",0,0
201,2016,14,"Finland","FI",6,"provision of risk finance",13,3000000
202,2016,14,"Finland","FI",7,"reduction of social security contributions",0,0
203,2016,14,"Finland","FI",8,"reimbursable grant",0,0
204,2016,14,"Finland","FI",9,"soft loan",0,0
205,2016,14,"Finland","FI",10,"subsidised services",0,0
206,2016,14,"Finland","FI",11,"tax advantage or tax exemption",97,371250000
207,2016,14,"Finland","FI",12,"tax allowance",0,0
208,2016,14,"Finland","FI",13,"tax base reduction",0,0
209,2016,14,"Finland","FI",14,"tax rate reduction",0,0
210,2016,14,"Finland","FI",15,"other",0,0
211,2016,15,"Sweden","SE",1,"direct grant",0,0
212,2016,15,"Sweden","SE",2,"guarantee",0,0
213,2016,15,"Sweden","SE",3,"interest rate subsidy",299,156967000
214,2016,15,"Sweden","SE",4,"loan",2,2849000
215,2016,15,"Sweden","SE",5,"provision of risk capital",0,0
216,2016,15,"Sweden","SE",6,"provision of risk finance",0,0
217,2016,15,"Sweden","SE",7,"reduction of social security contributions",35,31795000
218,2016,15,"Sweden","SE",8,"reimbursable grant",0,0
219,2016,15,"Sweden","SE",9,"soft loan",0,0
220,2016,15,"Sweden","SE",10,"subsidised services",0,0
221,2016,15,"Sweden","SE",11,"tax advantage or tax exemption",4,9750000
222,2016,15,"Sweden","SE",12,"tax allowance",53,213010000
223,2016,15,"Sweden","SE",13,"tax base reduction",0,0
224,2016,15,"Sweden","SE",14,"tax rate reduction",5,5250000
225,2016,15,"Sweden","SE",15,"other",36,103000000
226,2016,16,"Cyprus","CY",1,"direct grant",0,0
227,2016,16,"Cyprus","CY",2,"guarantee",0,0
228,2016,16,"Cyprus","CY",3,"interest rate subsidy",0,0
229,2016,16,"Cyprus","CY",4,"loan",0,0
230,2016,16,"Cyprus","CY",5,"provision of risk capital",0,0
231,2016,16,"Cyprus","CY",6,"provision of risk finance",0,0
232,2016,16,"Cyprus","CY",7,"reduction of social security contributions",0,0
233,2016,16,"Cyprus","CY",8,"reimbursable grant",0,0
234,2016,16,"Cyprus","CY",9,"soft loan",0,0
235,2016,16,"Cyprus","CY",10,"subsidised services",0,0
236,2016,16,"Cyprus","CY",11,"tax advantage or tax exemption",0,0
237,2016,16,"Cyprus","CY",12,"tax allowance",0,0
238,2016,16,"Cyprus","CY",13,"tax base reduction",0,0
239,2016,16,"Cyprus","CY",14,"tax rate reduction",0,0
240,2016,16,"Cyprus","CY",15,"other",0,0
241,2016,17,"Czech Republic","CZ",1,"direct grant",321,69984000
242,2016,17,"Czech Republic","CZ",2,"guarantee",0,0
243,2016,17,"Czech Republic","CZ",3,"interest rate subsidy",190,185354000
244,2016,17,"Czech Republic","CZ",4,"loan",0,0
245,2016,17,"Czech Republic","CZ",5,"provision of risk capital",0,0
246,2016,17,"Czech Republic","CZ",6,"provision of risk finance",0,0
247,2016,17,"Czech Republic","CZ",7,"reduction of social security contributions",0,0
248,2016,17,"Czech Republic","CZ",8,"reimbursable grant",0,0
249,2016,17,"Czech Republic","CZ",9,"soft loan",0,0
250,2016,17,"Czech Republic","CZ",10,"subsidised services",105,13524000
251,2016,17,"Czech Republic","CZ",11,"tax advantage or tax exemption",25,111957000
252,2016,17,"Czech Republic","CZ",12,"tax allowance",0,0
253,2016,17,"Czech Republic","CZ",13,"tax base reduction",0,0
254,2016,17,"Czech Republic","CZ",14,"tax rate reduction",0,0
255,2016,17,"Czech Republic","CZ",15,"other",2,852000
256,2016,18,"Estonia","EE",1,"direct grant",15,33235000
257,2016,18,"Estonia","EE",2,"guarantee",0,0
258,2016,18,"Estonia","EE",3,"interest rate subsidy",23,56178000
259,2016,18,"Estonia","EE",4,"loan",0,0
260,2016,18,"Estonia","EE",5,"provision of risk capital",0,0
261,2016,18,"Estonia","EE",6,"provision of risk finance",0,0
262,2016,18,"Estonia","EE",7,"reduction of social security contributions",0,0
263,2016,18,"Estonia","EE",8,"reimbursable grant",0,0
264,2016,18,"Estonia","EE",9,"soft loan",0,0
265,2016,18,"Estonia","EE",10,"subsidised services",2,297000
266,2016,18,"Estonia","EE",11,"tax advantage or tax exemption",0,0
267,2016,18,"Estonia","EE",12,"tax allowance",0,0
268,2016,18,"Estonia","EE",13,"tax base reduction",0,0
269,2016,18,"Estonia","EE",14,"tax rate reduction",0,0
270,2016,18,"Estonia","EE",15,"other",1,3812000
271,2016,19,"Hungary","HU",1,"direct grant",170,27268000
272,2016,19,"Hungary","HU",2,"guarantee",0,0
273,2016,19,"Hungary","HU",3,"interest rate subsidy",1884,1055545000
274,2016,19,"Hungary","HU",4,"loan",4,4589000
275,2016,19,"Hungary","HU",5,"provision of risk capital",0,0
276,2016,19,"Hungary","HU",6,"provision of risk finance",2,965000
277,2016,19,"Hungary","HU",7,"reduction of social security contributions",0,0
278,2016,19,"Hungary","HU",8,"reimbursable grant",0,0
279,2016,19,"Hungary","HU",9,"soft loan",0,0
280,2016,19,"Hungary","HU",10,"subsidised services",1,87000
281,2016,19,"Hungary","HU",11,"tax advantage or tax exemption",0,0
282,2016,19,"Hungary","HU",12,"tax allowance",0,0
283,2016,19,"Hungary","HU",13,"tax base reduction",0,0
284,2016,19,"Hungary","HU",14,"tax rate reduction",0,0
285,2016,19,"Hungary","HU",15,"other",0,0
286,2016,20,"Latvia","LV",1,"direct grant",1,3378000
287,2016,20,"Latvia","LV",2,"guarantee",0,0
288,2016,20,"Latvia","LV",3,"interest rate subsidy",14,14667000
289,2016,20,"Latvia","LV",4,"loan",0,0
290,2016,20,"Latvia","LV",5,"provision of risk capital",0,0
291,2016,20,"Latvia","LV",6,"provision of risk finance",4,4750000
292,2016,20,"Latvia","LV",7,"reduction of social security contributions",0,0
293,2016,20,"Latvia","LV",8,"reimbursable grant",0,0
294,2016,20,"Latvia","LV",9,"soft loan",0,0
295,2016,20,"Latvia","LV",10,"subsidised services",0,0
296,2016,20,"Latvia","LV",11,"tax advantage or tax exemption",5,12750000
297,2016,20,"Latvia","LV",12,"tax allowance",0,0
298,2016,20,"Latvia","LV",13,"tax base reduction",0,0
299,2016,20,"Latvia","LV",14,"tax rate reduction",0,0
300,2016,20,"Latvia","LV",15,"other",0,0
301,2016,21,"Lithuania","LT",1,"direct grant",2,39116000
302,2016,21,"Lithuania","LT",2,"guarantee",0,0
303,2016,21,"Lithuania","LT",3,"interest rate subsidy",126,130526000
304,2016,21,"Lithuania","LT",4,"loan",0,0
305,2016,21,"Lithuania","LT",5,"provision of risk capital",0,0
306,2016,21,"Lithuania","LT",6,"provision of risk finance",0,0
307,2016,21,"Lithuania","LT",7,"reduction of social security contributions",0,0
308,2016,21,"Lithuania","LT",8,"reimbursable grant",0,0
309,2016,21,"Lithuania","LT",9,"soft loan",0,0
310,2016,21,"Lithuania","LT",10,"subsidised services",0,0
311,2016,21,"Lithuania","LT",11,"tax advantage or tax exemption",0,0
312,2016,21,"Lithuania","LT",12,"tax allowance",0,0
313,2016,21,"Lithuania","LT",13,"tax base reduction",0,0
314,2016,21,"Lithuania","LT",14,"tax rate reduction",0,0
315,2016,21,"Lithuania","LT",15,"other",0,0
316,2016,22,"Malta","MT",1,"direct grant",3,6886000
317,2016,22,"Malta","MT",2,"guarantee",0,0
318,2016,22,"Malta","MT",3,"interest rate subsidy",1,8414000
319,2016,22,"Malta","MT",4,"loan",0,0
320,2016,22,"Malta","MT",5,"provision of risk capital",0,0
321,2016,22,"Malta","MT",6,"provision of risk finance",0,0
322,2016,22,"Malta","MT",7,"reduction of social security contributions",0,0
323,2016,22,"Malta","MT",8,"reimbursable grant",0,0
324,2016,22,"Malta","MT",9,"soft loan",1,709000
325,2016,22,"Malta","MT",10,"subsidised services",0,0
326,2016,22,"Malta","MT",11,"tax advantage or tax exemption",0,0
327,2016,22,"Malta","MT",12,"tax allowance",0,0
328,2016,22,"Malta","MT",13,"tax base reduction",0,0
329,2016,22,"Malta","MT",14,"tax rate reduction",0,0
330,2016,22,"Malta","MT",15,"other",15,23719000
331,2016,23,"Poland","PL",1,"direct grant",0,0
332,2016,23,"Poland","PL",2,"guarantee",0,0
333,2016,23,"Poland","PL",3,"interest rate subsidy",0,0
334,2016,23,"Poland","PL",4,"loan",0,0
335,2016,23,"Poland","PL",5,"provision of risk capital",0,0
336,2016,23,"Poland","PL",6,"provision of risk finance",0,0
337,2016,23,"Poland","PL",7,"reduction of social security contributions",0,0
338,2016,23,"Poland","PL",8,"reimbursable grant",0,0
339,2016,23,"Poland","PL",9,"soft loan",0,0
340,2016,23,"Poland","PL",10,"subsidised services",0,0
341,2016,23,"Poland","PL",11,"tax advantage or tax exemption",0,0
342,2016,23,"Poland","PL",12,"tax allowance",0,0
343,2016,23,"Poland","PL",13,"tax base reduction",0,0
344,2016,23,"Poland","PL",14,"tax rate reduction",0,0
345,2016,23,"Poland","PL",15,"other",0,0
346,2016,24,"Slovakia","SK",1,"direct grant",1,11235000
347,2016,24,"Slovakia","SK",2,"guarantee",0,0
348,2016,24,"Slovakia","SK",3,"interest rate subsidy",19,39051000
349,2016,24,"Slovakia","SK",4,"loan",0,0
350,2016,24,"Slovakia","SK",5,"provision of risk capital",0,0
351,2016,24,"Slovakia","SK",6,"provision of risk finance",2,2300000
352,2016,24,"Slovakia","SK",7,"reduction of social security contributions",0,0
353,2016,24,"Slovakia","SK",8,"reimbursable grant",0,0
354,2016,24,"Slovakia","SK",9,"soft loan",0,0
355,2016,24,"Slovakia","SK",10,"subsidised services",1,863000
356,2016,24,"Slovakia","SK",11,"tax advantage or tax exemption",0,0
357,2016,24,"Slovakia","SK",12,"tax allowance",0,0
358,2016,24,"Slovakia","SK",13,"tax base reduction",0,0
359,2016,24,"Slovakia","SK",14,"tax rate reduction",0,0
360,2016,24,"Slovakia","SK",15,"other",0,0
361,2016,25,"Slovenia","SI",1,"direct grant",0,0
362,2016,25,"Slovenia","SI",2,"guarantee",0,0
363,2016,25,"Slovenia","SI",3,"interest rate subsidy",25,18549000
364,2016,25,"Slovenia","SI",4,"loan",1,591000
365,2016,25,"Slovenia","SI",5,"provision of risk capital",0,0
366,2016,25,"Slovenia","SI",6,"provision of risk finance",0,0
367,2016,25,"Slovenia","SI",7,"reduction of social security contributions",0,0
368,2016,25,"Slovenia","SI",8,"reimbursable grant",0,0
369,2016,25,"Slovenia","SI",9,"soft loan",0,0
370,2016,25,"Slovenia","SI",10,"subsidised services",0,0
371,2016,25,"Slovenia","SI",11,"tax advantage or tax exemption",0,0
372,2016,25,"Slovenia","SI",12,"tax allowance",0,0
373,2016,25,"Slovenia","SI",13,"tax base reduction",0,0
374,2016,25,"Slovenia","SI",14,"tax rate reduction",0,0
375,2016,25,"Slovenia","SI",15,"other",0,0
376,2016,26,"Bulgaria","BG",1,"direct grant",0,0
377,2016,26,"Bulgaria","BG",2,"guarantee",0,0
378,2016,26,"Bulgaria","BG",3,"interest rate subsidy",0,0
379,2016,26,"Bulgaria","BG",4,"loan",0,0
380,2016,26,"Bulgaria","BG",5,"provision of risk capital",0,0
381,2016,26,"Bulgaria","BG",6,"provision of risk finance",0,0
382,2016,26,"Bulgaria","BG",7,"reduction of social security contributions",0,0
383,2016,26,"Bulgaria","BG",8,"reimbursable grant",0,0
384,2016,26,"Bulgaria","BG",9,"soft loan",0,0
385,2016,26,"Bulgaria","BG",10,"subsidised services",0,0
386,2016,26,"Bulgaria","BG",11,"tax advantage or tax exemption",0,0
387,2016,26,"Bulgaria","BG",12,"tax allowance",0,0
388,2016,26,"Bulgaria","BG",13,"tax base reduction",0,0
389,2016,26,"Bulgaria","BG",14,"tax rate reduction",0,0
390,2016,26,"Bulgaria","BG",15,"other",403,2020832000
391,2016,27,"Romania","RO",1,"direct grant",0,0
392,2016,27,"Romania","RO",2,"guarantee",0,0
393,2016,27,"Romania","RO",3,"interest rate subsidy",0,0
394,2016,27,"Romania","RO",4,"loan",0,0
395,2016,27,"Romania","RO",5,"provision of risk capital",0,0
396,2016,27,"Romania","RO",6,"provision of risk finance",0,0
397,2016,27,"Romania","RO",7,"reduction of social security contributions",0,0
398,2016,27,"Romania","RO",8,"reimbursable grant",0,0
399,2016,27,"Romania","RO",9,"soft loan",0,0
400,2016,27,"Romania","RO",10,"subsidised services",0,0
401,2016,27,"Romania","RO",11,"tax advantage or tax exemption",0,0
402,2016,27,"Romania","RO",12,"tax allowance",0,0
403,2016,27,"Romania","RO",13,"tax base reduction",0,0
404,2016,27,"Romania","RO",14,"tax rate reduction",0,0
405,2016,27,"Romania","RO",15,"other",0,0
406,2016,28,"Croatia","HR",1,"direct grant",0,0
407,2016,28,"Croatia","HR",2,"guarantee",0,0
408,2016,28,"Croatia","HR",3,"interest rate subsidy",37,79071000
409,2016,28,"Croatia","HR",4,"loan",0,0
410,2016,28,"Croatia","HR",5,"provision of risk capital",0,0
411,2016,28,"Croatia","HR",6,"provision of risk finance",0,0
412,2016,28,"Croatia","HR",7,"reduction of social security contributions",0,0
413,2016,28,"Croatia","HR",8,"reimbursable grant",0,0
414,2016,28,"Croatia","HR",9,"soft loan",0,0
415,2016,28,"Croatia","HR",10,"subsidised services",0,0
416,2016,28,"Croatia","HR",11,"tax advantage or tax exemption",0,0
417,2016,28,"Croatia","HR",12,"tax allowance",0,0
418,2016,28,"Croatia","HR",13,"tax base reduction",0,0
419,2016,28,"Croatia","HR",14,"tax rate reduction",0,0
420,2016,28,"Croatia","HR",15,"other",0,0
421,2017,1,"Belgium","BE",1,"direct grant",94,128676000
422,2017,1,"Belgium","BE",2,"guarantee",0,0
423,2017,1,"Belgium","BE",3,"interest rate subsidy",466,1167668000
424,2017,1,"Belgium","BE",4,"loan",22,37323000
425,2017,1,"Belgium","BE",5,"provision of risk capital",0,0
426,2017,1,"Belgium","BE",6,"provision of risk finance",0,0
427,2017,1,"Belgium","BE",7,"reduction of social security contributions",0,0
428,2017,1,"Belgium","BE",8,"reimbursable grant",0,0
429,2017,1,"Belgium","BE",9,"soft loan",0,0
430,2017,1,"Belgium","BE",10,"subsidised services",0,0
431,2017,1,"Belgium","BE",11,"tax advantage or tax exemption",40,14300000
432,2017,1,"Belgium","BE",12,"tax allowance",0,0
433,2017,1,"Belgium","BE",13,"tax base reduction",0,0
434,2017,1,"Belgium","BE",14,"tax rate reduction",0,0
435,2017,1,"Belgium","BE",15,"other",1,600000
436,2017,2,"France","FR",1,"direct grant",349,2975270000
437,2017,2,"France","FR",2,"guarantee",0,0
438,2017,2,"France","FR",3,"interest rate subsidy",1074,1336851000
439,2017,2,"France","FR",4,"loan",457,393887000
440,2017,2,"France","FR",5,"provision of risk capital",0,0
441,2017,2,"France","FR",6,"provision of risk finance",0,0
442,2017,2,"France","FR",7,"reduction of social security contributions",0,0
443,2017,2,"France","FR",8,"reimbursable grant",0,0
444,2017,2,"France","FR",9,"soft loan",0,0
445,2017,2,"France","FR",10,"subsidised services",7,8896000
446,2017,2,"France","FR",11,"tax advantage or tax exemption",0,0
447,2017,2,"France","FR",12,"tax allowance",0,0
448,2017,2,"France","FR",13,"tax base reduction",0,0
449,2017,2,"France","FR",14,"tax rate reduction",0,0
450,2017,2,"France","FR",15,"other",179,607387000
451,2017,3,"Germany","DE",1,"direct grant",1084,3172518000
452,2017,3,"Germany","DE",2,"guarantee",3,924000
453,2017,3,"Germany","DE",3,"interest rate subsidy",1319,1865430000
454,2017,3,"Germany","DE",4,"loan",17,11735000
455,2017,3,"Germany","DE",5,"provision of risk capital",0,0
456,2017,3,"Germany","DE",6,"provision of risk finance",9,6404000
457,2017,3,"Germany","DE",7,"reduction of social security contributions",9,21272000
458,2017,3,"Germany","DE",8,"reimbursable grant",7,6513000
